Versicherer;Kanton;Geschäftsjahr;Durchschnittsbestand
0008;AG;2016;95593.0933
0008;AI;2016;1541.0124
0008;AR;2016;1636.9877
0008;BE;2016;13646.2578
0008;BL;2016;20843.1605
0008;BS;2016;4215.8652
0008;FR;2016;77952.5658
0008;GE;2016;62405.8139
0008;GL;2016;867.3384
0008;GR;2016;3596.1988
0008;JU;2016;7122.2786
0008;LU;2016;85695.5235
0008;NE;2016;27380.2257
0008;NW;2016;8653.3753
0008;OW;2016;6142.4639
0008;SG;2016;66921.7596
0008;SH;2016;1737.932
0008;SO;2016;21227.403
0008;SZ;2016;43240.0437
0008;TG;2016;21781.8213
0008;TI;2016;12393.521
0008;UR;2016;2744.7524
0008;VD;2016;53138.5951
0008;VS;2016;31041.0319
0008;ZG;2016;27172.7743
0008;ZH;2016;108641.4067
0032;AG;2016;22353
0032;AI;2016;8
0032;AR;2016;31
0032;BE;2016;563
0032;BL;2016;250
0032;BS;2016;133
0032;FR;2016;128
0032;GE;2016;193
0032;GL;2016;351
0032;GR;2016;2057
0032;JU;2016;3
0032;LU;2016;280
0032;NE;2016;24
0032;NW;2016;336
0032;OW;2016;672
0032;SG;2016;345
0032;SH;2016;114
0032;SO;2016;277
0032;SZ;2016;1525
0032;TG;2016;311
0032;TI;2016;279
0032;UR;2016;19
0032;VD;2016;603
0032;VS;2016;76
0032;ZG;2016;261
0032;ZH;2016;12529
0057;AG;2016;981.71
0057;AI;2016;1
0057;AR;2016;5.32999999
0057;BE;2016;232.49
0057;BL;2016;987.8900001
0057;BS;2016;755.28
0057;FR;2016;77.75000006
0057;GE;2016;807.8999999
0057;GL;2016;7
0057;GR;2016;16.50000001
0057;JU;2016;5.90999998
0057;LU;2016;181.25
0057;NE;2016;18.48999999
0057;NW;2016;18.41999996
0057;OW;2016;21.24999998
0057;SG;2016;31.25000008
0057;SH;2016;5.08
0057;SO;2016;757.19
0057;SZ;2016;9.25
0057;TG;2016;25.74999996
0057;TI;2016;80.08999999
0057;UR;2016;2
0057;VD;2016;750.4199999
0057;VS;2016;354.5
0057;ZG;2016;11.25
0057;ZH;2016;208.8099999
0062;AG;2016;264.040508
0062;AI;2016;4.08333332
0062;AR;2016;2239.033766
0062;BE;2016;24095.14794
0062;BL;2016;7848.501471
0062;BS;2016;261.8924422
0062;FR;2016;735.2905914
0062;GE;2016;14534.46862
0062;GL;2016;14.66451613
0062;GR;2016;1573.149805
0062;JU;2016;12390.35941
0062;LU;2016;11480.40476
0062;NE;2016;684.0520609
0062;NW;2016;24.94892475
0062;OW;2016;11.75000001
0062;SG;2016;163.8539056
0062;SH;2016;34
0062;SO;2016;153.9109319
0062;SZ;2016;62.09677419
0062;TG;2016;71.66155916
0062;TI;2016;3804.774821
0062;UR;2016;12.25000001
0062;VD;2016;71551.20452
0062;VS;2016;947.5038067
0062;ZG;2016;40.44032258
0062;ZH;2016;699.6466939
0134;GL;2016;11
